,r,fc
0,0.0000,0.8451999999999998
0,0.0050,0.8420000000000001
0,0.0100,0.8133000000000001
0,0.0150,0.843
0,0.0200,0.8337
0,0.0250,0.7920000000000001
0,0.0300,0.8037000000000001
0,0.0350,0.8029000000000001
0,0.0400,0.8336000000000001
0,0.0450,0.8214999999999998
0,0.0500,0.7913000000000002
0,0.0550,0.8027
0,0.0600,0.7929
0,0.0650,0.7916000000000001
0,0.0700,0.7742999999999999
0,0.0750,0.7352000000000001
0,0.0800,0.8037000000000001
0,0.0850,0.8063000000000001
0,0.0900,0.7621000000000001
0,0.0950,0.7332000000000002
0,0.1000,0.7315000000000004
0,0.1050,0.7458000000000001
0,0.1100,0.7463
0,0.1150,0.7505
0,0.1200,0.7528
0,0.1250,0.7381
0,0.1300,0.7931
0,0.1350,0.7335000000000004
0,0.1400,0.7428999999999998
0,0.1450,0.7335000000000003
0,0.1500,0.7419
0,0.1550,0.7335000000000003
0,0.1600,0.7335000000000003
0,0.1650,0.743
0,0.1700,0.7350000000000001
0,0.1750,0.7062
0,0.1800,0.7219999999999999
0,0.1850,0.7221
0,0.1900,0.7337000000000002
0,0.1950,0.6991
0,0.2000,0.7123999999999998
0,0.2050,0.6835000000000001
0,0.2100,0.6791000000000001
0,0.2150,0.6880000000000002
0,0.2200,0.7340000000000002
0,0.2250,0.6827
0,0.2300,0.6785000000000001
0,0.2350,0.7057999999999999
0,0.2400,0.6782
0,0.2450,0.6957999999999999
0,0.2500,0.6638000000000001
0,0.2550,0.6950999999999999
0,0.2600,0.6877999999999999
0,0.2650,0.7615000000000001
0,0.2700,0.6832
0,0.2750,0.6719000000000002
0,0.2800,0.6728000000000002
0,0.2850,0.6849000000000001
0,0.2900,0.6929
0,0.2950,0.6681
0,0.3000,0.675
0,0.3050,0.653
0,0.3100,0.6679
0,0.3150,0.6537000000000002
0,0.3200,0.6780000000000002
0,0.3250,0.6587000000000001
0,0.3300,0.6539000000000001
0,0.3350,0.6552000000000002
0,0.3400,0.6644000000000001
0,0.3450,0.6546000000000002
0,0.3500,0.6640999999999999
0,0.3550,0.6616
0,0.3600,0.6718000000000002
0,0.3650,0.6436
0,0.3700,0.6724000000000001
0,0.3750,0.6716000000000001
0,0.3800,0.6607999999999999
0,0.3850,0.6521000000000002
0,0.3900,0.6535000000000002
0,0.3950,0.6217
0,0.4000,0.6747000000000003
0,0.4050,0.6433
0,0.4100,0.6326
0,0.4150,0.6642
0,0.4200,0.6436
0,0.4250,0.6234999999999998
0,0.4300,0.6513000000000002
0,0.4350,0.6448999999999999
0,0.4400,0.6443000000000001
0,0.4450,0.6431
0,0.4500,0.6263000000000001
0,0.4550,0.6619000000000002
0,0.4600,0.6536
0,0.4650,0.6303000000000001
0,0.4700,0.5911000000000001
0,0.4750,0.6439
0,0.4800,0.6822
0,0.4850,0.6422999999999999
0,0.4900,0.6611
0,0.4950,0.6243
