,r,fc
0,0.0000,0.3508000000000001
0,0.0030,0.33230000000000004
0,0.0060,0.31079999999999997
0,0.0090,0.44079999999999997
0,0.0120,0.4026999999999999
0,0.0150,0.3999999999999999
0,0.0180,0.33
0,0.0210,0.311
0,0.0240,0.4120999999999999
0,0.0270,0.36099999999999993
0,0.0300,0.29109999999999997
0,0.0330,0.3500000000000001
0,0.0360,0.4648999999999999
0,0.0390,0.3999999999999999
0,0.0420,0.3225
0,0.0450,0.28000000000000014
0,0.0480,0.3
0,0.0510,0.3711999999999999
0,0.0540,0.38370000000000004
0,0.0570,0.24119999999999997
0,0.0600,0.33
0,0.0630,0.36129999999999995
0,0.0660,0.39000000000000007
0,0.0690,0.4099999999999999
0,0.0720,0.3414000000000001
0,0.0750,0.4814
0,0.0780,0.33
0,0.0810,0.3400000000000001
0,0.0840,0.24
0,0.0870,0.30999999999999994
0,0.0900,0.3614999999999998
0,0.0930,0.4315
0,0.0960,0.3446000000000001
0,0.0990,0.43
0,0.1020,0.27
0,0.1050,0.42160000000000003
0,0.1080,0.39770000000000005
0,0.1110,0.27
0,0.1140,0.32159999999999994
0,0.1170,0.23000000000000004
0,0.1200,0.28000000000000014
0,0.1230,0.28170000000000006
0,0.1260,0.31999999999999995
0,0.1290,0.29
0,0.1320,0.29
0,0.1350,0.24
0,0.1380,0.2517
0,0.1410,0.31999999999999995
0,0.1440,0.30019999999999997
0,0.1470,0.38420000000000004
0,0.1500,0.23000000000000004
0,0.1530,0.2701
0,0.1560,0.3201
0,0.1590,0.24
0,0.1620,0.31059999999999993
0,0.1650,0.3731999999999999
0,0.1680,0.29029999999999995
0,0.1710,0.3011
0,0.1740,0.35070000000000007
0,0.1770,0.3019
0,0.1800,0.42100000000000004
0,0.1830,0.35040000000000004
0,0.1860,0.3500000000000001
0,0.1890,0.19050000000000003
0,0.1920,0.21100000000000002
0,0.1950,0.24049999999999996
0,0.1980,0.40099999999999997
0,0.2010,0.28050000000000014
0,0.2040,0.29
0,0.2070,0.3446000000000001
0,0.2100,0.23000000000000004
0,0.2130,0.2706
0,0.2160,0.15999999999999998
0,0.2190,0.29
0,0.2220,0.14000000000000007
0,0.2250,0.17000000000000004
0,0.2280,0.2518
0,0.2310,0.31839999999999996
0,0.2340,0.3
0,0.2370,0.35080000000000006
0,0.2400,0.2527
0,0.2430,0.26
0,0.2460,0.34410000000000013
0,0.2490,0.15999999999999998
0,0.2520,0.23090000000000002
0,0.2550,0.2709
0,0.2580,0.09999999999999998
0,0.2610,0.19090000000000004
0,0.2640,0.17999999999999997
0,0.2670,0.17000000000000004
0,0.2700,0.19999999999999996
0,0.2730,0.31999999999999995
0,0.2760,0.22099999999999997
0,0.2790,0.11
0,0.2820,0.19000000000000003
0,0.2850,0.311
0,0.2880,0.17110000000000006
0,0.2910,0.19000000000000003
0,0.2940,0.21000000000000005
0,0.2970,0.19999999999999996
