Episode:19, r:0.4700, Time:4773, fc:0.280
Episode:19, r:0.4700, Time:4774, fc:0.350
Episode:19, r:0.4700, Time:4775, fc:0.270
Episode:19, r:0.4700, Time:4776, fc:0.340
Episode:19, r:0.4700, Time:4777, fc:0.260
Episode:19, r:0.4700, Time:4778, fc:0.340
Episode:19, r:0.4700, Time:4779, fc:0.280
Episode:19, r:0.4700, Time:4780, fc:0.340
Episode:19, r:0.4700, Time:4781, fc:0.290
Episode:19, r:0.4700, Time:4782, fc:0.320
Episode:19, r:0.4700, Time:4783, fc:0.340
Episode:19, r:0.4700, Time:4784, fc:0.300
Episode:19, r:0.4700, Time:4785, fc:0.290
Episode:19, r:0.4700, Time:4786, fc:0.300
Episode:19, r:0.4700, Time:4787, fc:0.320
Episode:19, r:0.4700, Time:4788, fc:0.270
Episode:19, r:0.4700, Time:4789, fc:0.340
Episode:19, r:0.4700, Time:4790, fc:0.300
Episode:19, r:0.4700, Time:4791, fc:0.330
Episode:19, r:0.4700, Time:4792, fc:0.310
Episode:19, r:0.4700, Time:4793, fc:0.270
Episode:19, r:0.4700, Time:4794, fc:0.270
Episode:19, r:0.4700, Time:4795, fc:0.320
Episode:19, r:0.4700, Time:4796, fc:0.340
Episode:19, r:0.4700, Time:4797, fc:0.290
Episode:19, r:0.4700, Time:4798, fc:0.310
Episode:19, r:0.4700, Time:4799, fc:0.350
Episode:19, r:0.4700, Time:4800, fc:0.290
Episode:19, r:0.4700, Time:4801, fc:0.340
Episode:19, r:0.4700, Time:4802, fc:0.270
Episode:19, r:0.4700, Time:4803, fc:0.360
Episode:19, r:0.4700, Time:4804, fc:0.260
Episode:19, r:0.4700, Time:4805, fc:0.350
Episode:19, r:0.4700, Time:4806, fc:0.290
Episode:19, r:0.4700, Time:4807, fc:0.330
Episode:19, r:0.4700, Time:4808, fc:0.290
Episode:19, r:0.4700, Time:4809, fc:0.330
Episode:19, r:0.4700, Time:4810, fc:0.300
Episode:19, r:0.4700, Time:4811, fc:0.310
Episode:19, r:0.4700, Time:4812, fc:0.290
Episode:19, r:0.4700, Time:4813, fc:0.300
Episode:19, r:0.4700, Time:4814, fc:0.320
Episode:19, r:0.4700, Time:4815, fc:0.310
Episode:19, r:0.4700, Time:4816, fc:0.260
Episode:19, r:0.4700, Time:4817, fc:0.380
Episode:19, r:0.4700, Time:4818, fc:0.270
Episode:19, r:0.4700, Time:4819, fc:0.330
Episode:19, r:0.4700, Time:4820, fc:0.280
Episode:19, r:0.4700, Time:4821, fc:0.340
Episode:19, r:0.4700, Time:4822, fc:0.300
Episode:19, r:0.4700, Time:4823, fc:0.340
Episode:19, r:0.4700, Time:4824, fc:0.280
Episode:19, r:0.4700, Time:4825, fc:0.340
Episode:19, r:0.4700, Time:4826, fc:0.290
Episode:19, r:0.4700, Time:4827, fc:0.300
Episode:19, r:0.4700, Time:4828, fc:0.280
Episode:19, r:0.4700, Time:4829, fc:0.330
Episode:19, r:0.4700, Time:4830, fc:0.330
Episode:19, r:0.4700, Time:4831, fc:0.270
Episode:19, r:0.4700, Time:4832, fc:0.310
Episode:19, r:0.4700, Time:4833, fc:0.310
Episode:19, r:0.4700, Time:4834, fc:0.330
Episode:19, r:0.4700, Time:4835, fc:0.310
Episode:19, r:0.4700, Time:4836, fc:0.340
Episode:19, r:0.4700, Time:4837, fc:0.310
Episode:19, r:0.4700, Time:4838, fc:0.290
Episode:19, r:0.4700, Time:4839, fc:0.320
Episode:19, r:0.4700, Time:4840, fc:0.290
Episode:19, r:0.4700, Time:4841, fc:0.330
Episode:19, r:0.4700, Time:4842, fc:0.290
Episode:19, r:0.4700, Time:4843, fc:0.310
Episode:19, r:0.4700, Time:4844, fc:0.320
Episode:19, r:0.4700, Time:4845, fc:0.300
Episode:19, r:0.4700, Time:4846, fc:0.300
Episode:19, r:0.4700, Time:4847, fc:0.320
Episode:19, r:0.4700, Time:4848, fc:0.270
Episode:19, r:0.4700, Time:4849, fc:0.350
Episode:19, r:0.4700, Time:4850, fc:0.270
Episode:19, r:0.4700, Time:4851, fc:0.310
Episode:19, r:0.4700, Time:4852, fc:0.310
Episode:19, r:0.4700, Time:4853, fc:0.360
Episode:19, r:0.4700, Time:4854, fc:0.270
Episode:19, r:0.4700, Time:4855, fc:0.320
Episode:19, r:0.4700, Time:4856, fc:0.260
Episode:19, r:0.4700, Time:4857, fc:0.330
Episode:19, r:0.4700, Time:4858, fc:0.280
Episode:19, r:0.4700, Time:4859, fc:0.330
Episode:19, r:0.4700, Time:4860, fc:0.320
Episode:19, r:0.4700, Time:4861, fc:0.310
Episode:19, r:0.4700, Time:4862, fc:0.310
Episode:19, r:0.4700, Time:4863, fc:0.320
Episode:19, r:0.4700, Time:4864, fc:0.280
Episode:19, r:0.4700, Time:4865, fc:0.340
Episode:19, r:0.4700, Time:4866, fc:0.280
Episode:19, r:0.4700, Time:4867, fc:0.360
Episode:19, r:0.4700, Time:4868, fc:0.310
Episode:19, r:0.4700, Time:4869, fc:0.320
Episode:19, r:0.4700, Time:4870, fc:0.310
Episode:19, r:0.4700, Time:4871, fc:0.360
Episode:19, r:0.4700, Time:4872, fc:0.280
Episode:19, r:0.4700, Time:4873, fc:0.270
Episode:19, r:0.4700, Time:4874, fc:0.290
Episode:19, r:0.4700, Time:4875, fc:0.300
Episode:19, r:0.4700, Time:4876, fc:0.360
Episode:19, r:0.4700, Time:4877, fc:0.310
Episode:19, r:0.4700, Time:4878, fc:0.300
Episode:19, r:0.4700, Time:4879, fc:0.360
Episode:19, r:0.4700, Time:4880, fc:0.270
Episode:19, r:0.4700, Time:4881, fc:0.340
Episode:19, r:0.4700, Time:4882, fc:0.290
Episode:19, r:0.4700, Time:4883, fc:0.350
Episode:19, r:0.4700, Time:4884, fc:0.310
Episode:19, r:0.4700, Time:4885, fc:0.260
Episode:19, r:0.4700, Time:4886, fc:0.300
Episode:19, r:0.4700, Time:4887, fc:0.290
Episode:19, r:0.4700, Time:4888, fc:0.310
Episode:19, r:0.4700, Time:4889, fc:0.280
Episode:19, r:0.4700, Time:4890, fc:0.350
Episode:19, r:0.4700, Time:4891, fc:0.290
Episode:19, r:0.4700, Time:4892, fc:0.290
Episode:19, r:0.4700, Time:4893, fc:0.310
Episode:19, r:0.4700, Time:4894, fc:0.310
Episode:19, r:0.4700, Time:4895, fc:0.350
Episode:19, r:0.4700, Time:4896, fc:0.300
Episode:19, r:0.4700, Time:4897, fc:0.320
Episode:19, r:0.4700, Time:4898, fc:0.280
Episode:19, r:0.4700, Time:4899, fc:0.310
Episode:19, r:0.4700, Time:4900, fc:0.300
Episode:19, r:0.4700, Time:4901, fc:0.340
Episode:19, r:0.4700, Time:4902, fc:0.290
Episode:19, r:0.4700, Time:4903, fc:0.300
Episode:19, r:0.4700, Time:4904, fc:0.320
Episode:19, r:0.4700, Time:4905, fc:0.320
Episode:19, r:0.4700, Time:4906, fc:0.290
Episode:19, r:0.4700, Time:4907, fc:0.360
Episode:19, r:0.4700, Time:4908, fc:0.270
Episode:19, r:0.4700, Time:4909, fc:0.290
Episode:19, r:0.4700, Time:4910, fc:0.330
Episode:19, r:0.4700, Time:4911, fc:0.320
Episode:19, r:0.4700, Time:4912, fc:0.250
Episode:19, r:0.4700, Time:4913, fc:0.370
Episode:19, r:0.4700, Time:4914, fc:0.290
Episode:19, r:0.4700, Time:4915, fc:0.320
Episode:19, r:0.4700, Time:4916, fc:0.320
Episode:19, r:0.4700, Time:4917, fc:0.290
Episode:19, r:0.4700, Time:4918, fc:0.320
Episode:19, r:0.4700, Time:4919, fc:0.290
Episode:19, r:0.4700, Time:4920, fc:0.330
Episode:19, r:0.4700, Time:4921, fc:0.290
Episode:19, r:0.4700, Time:4922, fc:0.310
Episode:19, r:0.4700, Time:4923, fc:0.310
Episode:19, r:0.4700, Time:4924, fc:0.370
Episode:19, r:0.4700, Time:4925, fc:0.290
Episode:19, r:0.4700, Time:4926, fc:0.330
Episode:19, r:0.4700, Time:4927, fc:0.240
Episode:19, r:0.4700, Time:4928, fc:0.360
Episode:19, r:0.4700, Time:4929, fc:0.240
Episode:19, r:0.4700, Time:4930, fc:0.330
Episode:19, r:0.4700, Time:4931, fc:0.300
Episode:19, r:0.4700, Time:4932, fc:0.310
Episode:19, r:0.4700, Time:4933, fc:0.300
Episode:19, r:0.4700, Time:4934, fc:0.310
Episode:19, r:0.4700, Time:4935, fc:0.260
Episode:19, r:0.4700, Time:4936, fc:0.320
Episode:19, r:0.4700, Time:4937, fc:0.310
