,r,fc
0,0.0000,0.3292
0,0.0050,0.29719999999999996
0,0.0100,0.32080000000000003
0,0.0150,0.317
0,0.0200,0.3863999999999999
0,0.0250,0.34850000000000003
0,0.0300,0.37379999999999997
0,0.0350,0.278
0,0.0400,0.35180000000000006
0,0.0450,0.2617
0,0.0500,0.2804
0,0.0550,0.1707
0,0.0600,0.3076
0,0.0650,0.2697
0,0.0700,0.28200000000000003
0,0.0750,0.2825
0,0.0800,0.2772
0,0.0850,0.28030000000000005
0,0.0900,0.2789
0,0.0950,0.2685
0,0.1000,0.269
0,0.1050,0.2783
0,0.1100,0.27890000000000004
0,0.1150,0.27
0,0.1200,0.2621
0,0.1250,0.2681
0,0.1300,0.25720000000000004
0,0.1350,0.2677
0,0.1400,0.27
0,0.1450,0.26180000000000003
0,0.1500,0.27220000000000005
0,0.1550,0.2626
0,0.1600,0.2679
0,0.1650,0.26239999999999997
0,0.1700,0.2583
0,0.1750,0.2618
0,0.1800,0.2614
0,0.1850,0.2698
0,0.1900,0.2692
0,0.1950,0.25970000000000004
0,0.2000,0.2494
0,0.2050,0.261
0,0.2100,0.2609
0,0.2150,0.2515
0,0.2200,0.25739999999999996
0,0.2250,0.2503
0,0.2300,0.2628
0,0.2350,0.2482
0,0.2400,0.2474
0,0.2450,0.25880000000000003
0,0.2500,0.25810000000000005
0,0.2550,0.2582
0,0.2600,0.2515
0,0.2650,0.25889999999999996
0,0.2700,0.25780000000000003
0,0.2750,0.24810000000000001
0,0.2800,0.25070000000000003
0,0.2850,0.2587
0,0.2900,0.23799999999999996
0,0.2950,0.2505
0,0.3000,0.25089999999999996
0,0.3050,0.25129999999999997
0,0.3100,0.2477
0,0.3150,0.2579
0,0.3200,0.25100000000000006
0,0.3250,0.24140000000000003
0,0.3300,0.24230000000000002
0,0.3350,0.25820000000000004
0,0.3400,0.2525
0,0.3450,0.2491
0,0.3500,0.24800000000000005
0,0.3550,0.2376
0,0.3600,0.24849999999999994
0,0.3650,0.2477
0,0.3700,0.24960000000000002
0,0.3750,0.24779999999999996
0,0.3800,0.2476
0,0.3850,0.24200000000000002
0,0.3900,0.23999999999999996
0,0.3950,0.25129999999999997
0,0.4000,0.252
0,0.4050,0.24789999999999995
0,0.4100,0.24919999999999998
0,0.4150,0.2523
0,0.4200,0.2474
0,0.4250,0.24940000000000004
0,0.4300,0.24169999999999997
0,0.4350,0.24060000000000006
0,0.4400,0.23829999999999998
0,0.4450,0.24209999999999998
0,0.4500,0.24980000000000005
0,0.4550,0.24790000000000004
0,0.4600,0.24870000000000003
0,0.4650,0.2421
0,0.4700,0.23740000000000003
0,0.4750,0.24199999999999997
0,0.4800,0.24180000000000007
0,0.4850,0.2484
0,0.4900,0.2477
0,0.4950,0.23850000000000002
