,r,fc
0,0.0000,0.33480000000000004
0,0.0030,0.3824000000000001
0,0.0060,0.3962
0,0.0090,0.28000000000000014
0,0.0120,0.3405
0,0.0150,0.3116
0,0.0180,0.31999999999999995
0,0.0210,0.2806000000000001
0,0.0240,0.3252999999999999
0,0.0270,0.23000000000000004
0,0.0300,0.34720000000000006
0,0.0330,0.43
0,0.0360,0.2934
0,0.0390,0.3308
0,0.0420,0.30019999999999997
0,0.0450,0.4066
0,0.0480,0.4644
0,0.0510,0.3127
0,0.0540,0.4099999999999999
0,0.0570,0.34320000000000006
0,0.0600,0.4099999999999999
0,0.0630,0.33
0,0.0660,0.3400000000000001
0,0.0690,0.39160000000000006
0,0.0720,0.23000000000000004
0,0.0750,0.3141999999999999
0,0.0780,0.30369999999999997
0,0.0810,0.30129999999999996
0,0.0840,0.3419000000000001
0,0.0870,0.3500000000000001
0,0.0900,0.35190000000000005
0,0.0930,0.40159999999999996
0,0.0960,0.3702
0,0.0990,0.30999999999999994
0,0.1020,0.3500000000000001
0,0.1050,0.3400000000000001
0,0.1080,0.23000000000000004
0,0.1110,0.36999999999999994
0,0.1140,0.3686
0,0.1170,0.27
0,0.1200,0.28000000000000014
0,0.1230,0.25440000000000007
0,0.1260,0.27190000000000003
0,0.1290,0.20079999999999998
0,0.1320,0.2704
0,0.1350,0.2205
0,0.1380,0.29629999999999995
0,0.1410,0.3325000000000001
0,0.1440,0.28050000000000014
0,0.1470,0.272
0,0.1500,0.19999999999999996
0,0.1530,0.3911
0,0.1560,0.26
0,0.1590,0.2907
0,0.1620,0.2629
0,0.1650,0.15
0,0.1680,0.25
0,0.1710,0.3400000000000001
0,0.1740,0.3117
0,0.1770,0.47259999999999985
0,0.1800,0.17090000000000002
0,0.1830,0.26300000000000007
0,0.1860,0.3929000000000001
0,0.1890,0.25089999999999996
0,0.1920,0.32359999999999994
0,0.1950,0.24
0,0.1980,0.3011
0,0.2010,0.35190000000000005
0,0.2040,0.25
0,0.2070,0.241
0,0.2100,0.2731
0,0.2130,0.21000000000000005
0,0.2160,0.24
0,0.2190,0.2211
0,0.2220,0.19999999999999996
0,0.2250,0.25
0,0.2280,0.3020999999999999
0,0.2310,0.27130000000000004
0,0.2340,0.19000000000000003
0,0.2370,0.19999999999999996
0,0.2400,0.22139999999999996
0,0.2430,0.2615
0,0.2460,0.21010000000000006
0,0.2490,0.21000000000000005
0,0.2520,0.2708
0,0.2550,0.29
0,0.2580,0.28000000000000014
0,0.2610,0.38610000000000005
0,0.2640,0.17000000000000004
0,0.2670,0.23189999999999997
0,0.2700,0.16029999999999997
0,0.2730,0.26370000000000005
0,0.2760,0.23439999999999997
0,0.2790,0.17999999999999997
0,0.2820,0.26
0,0.2850,0.25
0,0.2880,0.27
0,0.2910,0.20039999999999997
0,0.2940,0.21100000000000002
0,0.2970,0.2017
