,r,fc
0,0.0000,0.17886249999999998
0,0.0020,0.17996874999999998
0,0.0040,0.17884375
0,0.0060,0.18191875000000002
0,0.0080,0.16888749999999997
0,0.0100,0.17696875
0,0.0120,0.17811249999999998
0,0.0140,0.18124375
0,0.0160,0.17685625000000002
0,0.0180,0.17638749999999997
0,0.0200,0.17055625
0,0.0220,0.17251874999999992
0,0.0240,0.17041250000000002
0,0.0260,0.1737375
0,0.0280,0.16491874999999998
0,0.0300,0.17383749999999998
0,0.0320,0.17558124999999997
0,0.0340,0.17241875
0,0.0360,0.17001250000000007
0,0.0380,0.164925
0,0.0400,0.175625
0,0.0420,0.16805625
0,0.0440,0.17121875
0,0.0460,0.16066875000000003
0,0.0480,0.164975
0,0.0500,0.16683125000000001
0,0.0520,0.169375
0,0.0540,0.1643875
0,0.0560,0.16195
0,0.0580,0.16366249999999996
0,0.0600,0.16749375
0,0.0620,0.17242499999999994
0,0.0640,0.16357499999999997
0,0.0660,0.158075
0,0.0680,0.16133125
0,0.0700,0.16556250000000006
0,0.0720,0.15944375
0,0.0740,0.16381875
0,0.0760,0.16799999999999998
0,0.0780,0.16368749999999999
0,0.0800,0.1599
0,0.0820,0.16441875000000003
0,0.0840,0.1562125
0,0.0860,0.16261249999999997
0,0.0880,0.1649
0,0.0900,0.15695625
0,0.0920,0.16384374999999998
0,0.0940,0.16064374999999997
0,0.0960,0.15866875
0,0.0980,0.15309375
0,0.1000,0.156275
0,0.1020,0.15561875000000003
0,0.1040,0.1493375
0,0.1060,0.15567500000000004
0,0.1080,0.15616875000000002
0,0.1100,0.15309375
0,0.1120,0.16235000000000002
0,0.1140,0.14690625
0,0.1160,0.15699375
0,0.1180,0.16058125
0,0.1200,0.15574375
0,0.1220,0.14439375
0,0.1240,0.16125625
0,0.1260,0.15505000000000002
0,0.1280,0.15193125
0,0.1300,0.153675
0,0.1320,0.15125625
0,0.1340,0.15255625
0,0.1360,0.152425
0,0.1380,0.1587
0,0.1400,0.15575
0,0.1420,0.14742499999999997
0,0.1440,0.15880625
0,0.1460,0.1600125
0,0.1480,0.15314375
0,0.1500,0.15061249999999998
0,0.1520,0.15065
0,0.1540,0.152575
0,0.1560,0.14933125000000003
0,0.1580,0.15624375000000001
0,0.1600,0.14703750000000004
0,0.1620,0.15200624999999998
0,0.1640,0.15126875
0,0.1660,0.15000625
0,0.1680,0.1587375
0,0.1700,0.15003124999999998
0,0.1720,0.15315625
0,0.1740,0.1511625
0,0.1760,0.15310625
0,0.1780,0.14555
0,0.1800,0.155075
0,0.1820,0.15551874999999998
0,0.1840,0.14992499999999997
0,0.1860,0.15318125
0,0.1880,0.14631875
0,0.1900,0.15065625
0,0.1920,0.15117499999999998
0,0.1940,0.147475
0,0.1960,0.14625
0,0.1980,0.14943125000000002
0,0.2000,0.15005624999999997
0,0.2020,0.1472875
0,0.2040,0.14564375
0,0.2060,0.14629375
0,0.2080,0.14193125
0,0.2100,0.14496875
0,0.2120,0.15009375
0,0.2140,0.15123125
0,0.2160,0.14746875
0,0.2180,0.14749375000000003
0,0.2200,0.14366875
0,0.2220,0.15120000000000003
0,0.2240,0.1476125
0,0.2260,0.14688125000000002
0,0.2280,0.14620625
0,0.2300,0.14426875
0,0.2320,0.14745625
0,0.2340,0.14869374999999999
0,0.2360,0.14318124999999995
0,0.2380,0.15248125
0,0.2400,0.14744375
0,0.2420,0.14981875
0,0.2440,0.13871875
0,0.2460,0.14934375
0,0.2480,0.1524625
0,0.2500,0.148075
0,0.2520,0.14943125000000002
0,0.2540,0.14756249999999999
0,0.2560,0.1538125
0,0.2580,0.14982499999999999
0,0.2600,0.14753125
0,0.2620,0.14371875
0,0.2640,0.131825
0,0.2660,0.1450125
0,0.2680,0.14929375000000003
0,0.2700,0.14252499999999999
0,0.2720,0.15013125
0,0.2740,0.1412125
0,0.2760,0.1375
0,0.2780,0.14325624999999997
0,0.2800,0.15071875
0,0.2820,0.13810624999999999
0,0.2840,0.14815625
0,0.2860,0.15129374999999998
0,0.2880,0.14495
0,0.2900,0.15393125
0,0.2920,0.1455875
0,0.2940,0.14874375
0,0.2960,0.14508124999999997
0,0.2980,0.142525
