,r,fc
0,0.0000,0.12060000000000003
0,0.0050,0.09979999999999997
0,0.0100,0.11870000000000001
0,0.0150,0.12100000000000001
0,0.0200,0.1009
0,0.0250,0.1201
0,0.0300,0.0895
0,0.0350,0.1202
0,0.0400,0.1109
0,0.0450,0.08940000000000003
0,0.0500,0.11939999999999999
0,0.0550,0.0909
0,0.0600,0.129
0,0.0650,0.09
0,0.0700,0.1188
0,0.0750,0.0
0,0.0800,0.1191
0,0.0850,0.10069999999999998
0,0.0900,0.09930000000000001
0,0.0950,0.1205
0,0.1000,0.12020000000000002
0,0.1050,0.09089999999999998
0,0.1100,0.0
0,0.1150,0.10870000000000003
0,0.1200,0.0
0,0.1250,0.1008
0,0.1300,0.09940000000000002
0,0.1350,0.1002
0,0.1400,0.0989
0,0.1450,0.08
0,0.1500,0.0
0,0.1550,0.1209
0,0.1600,0.09
0,0.1650,0.11960000000000003
0,0.1700,0.0
0,0.1750,0.0796
0,0.1800,0.0
0,0.1850,0.0892
0,0.1900,0.0
0,0.1950,0.0
0,0.2000,0.109
0,0.2050,0.08080000000000002
0,0.2100,0.07929999999999998
0,0.2150,0.09869999999999997
0,0.2200,0.08929999999999999
0,0.2250,0.0
0,0.2300,0.0
0,0.2350,0.1293
0,0.2400,0.0
0,0.2450,0.1099
0,0.2500,0.0
0,0.2550,0.0
0,0.2600,0.0
0,0.2650,0.10050000000000002
0,0.2700,0.09999999999999998
0,0.2750,0.0
0,0.2800,0.09909999999999998
0,0.2850,0.10039999999999999
0,0.2900,0.1386
0,0.2950,0.09000000000000002
0,0.3000,0.10080000000000001
0,0.3050,0.0808
0,0.3100,0.11990000000000002
0,0.3150,0.09910000000000002
0,0.3200,0.0903
0,0.3250,0.09
0,0.3300,0.09980000000000003
0,0.3350,0.07919999999999999
0,0.3400,0.099
0,0.3450,0.0
0,0.3500,0.0
0,0.3550,0.08109999999999999
0,0.3600,0.09040000000000001
0,0.3650,0.09010000000000001
0,0.3700,0.09980000000000003
0,0.3750,0.14
0,0.3800,0.0
0,0.3850,0.0
0,0.3900,0.0
0,0.3950,0.08900000000000001
0,0.4000,0.0
0,0.4050,0.08969999999999997
0,0.4100,0.12140000000000001
0,0.4150,0.11879999999999999
0,0.4200,0.0
0,0.4250,0.1009
0,0.4300,0.0
0,0.4350,0.0895
0,0.4400,0.08039999999999999
0,0.4450,0.0
0,0.4500,0.08959999999999999
0,0.4550,0.11860000000000001
0,0.4600,0.0
0,0.4650,0.0
0,0.4700,0.10980000000000002
0,0.4750,0.10910000000000002
0,0.4800,0.0802
0,0.4850,0.0
0,0.4900,0.0
0,0.4950,0.0904
