,r,fc
0,0.0000,1.0
0,0.0051,1.0
0,0.0102,1.0
0,0.0153,1.0
0,0.0204,1.0
0,0.0255,1.0
0,0.0306,1.0
0,0.0357,1.0
0,0.0408,1.0
0,0.0459,1.0
0,0.0510,1.0
0,0.0561,1.0
0,0.0612,1.0
0,0.0663,1.0
0,0.0714,1.0
0,0.0765,1.0
0,0.0816,1.0
0,0.0867,1.0
0,0.0918,1.0
0,0.0969,1.0
0,0.1020,1.0
0,0.1071,1.0
0,0.1122,1.0
0,0.1173,1.0
0,0.1224,1.0
0,0.1275,1.0
0,0.1326,1.0
0,0.1377,0.7896120000000001
0,0.1428,1.0
0,0.1479,0.783806
0,0.1530,1.0
0,0.1581,1.0
0,0.1632,1.0
0,0.1683,1.0
0,0.1734,1.0
0,0.1785,1.0
0,0.1836,1.0
0,0.1887,1.0
0,0.1938,1.0
0,0.1989,1.0
0,0.2040,1.0
0,0.2091,1.0
0,0.2142,1.0
0,0.2193,1.0
0,0.2244,1.0
0,0.2295,1.0
0,0.2346,1.0
0,0.2397,1.0
0,0.2448,0.800408
0,0.2499,1.0
0,0.2550,1.0
0,0.2601,1.0
0,0.2652,1.0
0,0.2703,1.0
0,0.2754,1.0
0,0.2805,1.0
0,0.2856,1.0
0,0.2907,0.78314
0,0.2958,1.0
0,0.3009,1.0
0,0.3060,1.0
0,0.3111,1.0
0,0.3162,0.799808
0,0.3213,1.0
0,0.3264,1.0
0,0.3315,0.69624
0,0.3366,0.716888
0,0.3417,0.7228180000000001
0,0.3468,1.0
0,0.3519,0.723604
0,0.3570,0.6460940000000001
0,0.3621,0.6882860000000001
0,0.3672,0.60529
0,0.3723,1.0
0,0.3774,0.65488
0,0.3825,0.63955
0,0.3876,0.6311479999999999
0,0.3927,0.589696
0,0.3978,0.627618
0,0.4029,0.0
0,0.4080,0.574006
0,0.4131,0.6677059999999999
0,0.4182,0.560158
0,0.4233,0.66341
0,0.4284,0.6018040000000001
0,0.4335,0.0
0,0.4386,0.61834
0,0.4437,0.541394
0,0.4488,0.541478
0,0.4539,0.667272
0,0.4590,0.0
0,0.4641,0.5794360000000001
0,0.4692,0.5721
0,0.4743,0.5649019999999999
0,0.4794,0.593736
0,0.4845,0.5969439999999999
0,0.4896,0.575388
0,0.4947,0.581624
0,0.4998,0.6198299999999999
