,r,fc
0,0.0000,0.19
0,0.0200,0.1895
0,0.0400,0.17980000000000002
0,0.0600,0.18019999999999997
0,0.0800,0.16950000000000004
0,0.1000,0.1702
0,0.1200,0.15990000000000001
0,0.1400,0.15969999999999998
0,0.1600,0.16
0,0.1800,0.16
0,0.2000,0.15039999999999998
0,0.2200,0.14980000000000002
0,0.2400,0.1499
0,0.2600,0.1499
0,0.2800,0.15
0,0.3000,0.1503
0,0.3200,0.0
0,0.3400,0.1505
0,0.3600,0.1497
0,0.3800,0.1501
0,0.4000,0.1501
0,0.4200,0.14969999999999997
0,0.4400,0.1498
0,0.4600,0.0
0,0.4800,0.1502
0,0.5000,0.15990000000000001
0,0.5200,0.0
0,0.5400,0.1597
0,0.5600,0.1598
0,0.5800,0.0
0,0.6000,0.15959999999999996
0,0.6200,0.1596
0,0.6400,0.0
0,0.6600,0.0
0,0.6800,0.1598
0,0.7000,0.0
0,0.7200,0.17000000000000004
0,0.7400,0.17000000000000004
0,0.7600,0.0
0,0.7800,0.17020000000000002
0,0.8000,0.17
0,0.8200,0.0
0,0.8400,0.17980000000000002
0,0.8600,0.18
0,0.8800,0.0
0,0.9000,0.17990000000000003
0,0.9200,0.18019999999999997
0,0.9400,0.0
0,0.9600,0.18029999999999993
0,0.9800,0.1898
0,1.0000,0.19
