,fc,fl
0,0.33,0.34
1,0.33,0.34
2,0.33,0.34
3,0.33,0.35
4,0.33,0.35
5,0.32,0.36
6,0.32,0.36
7,0.32,0.36
8,0.32,0.36
9,0.32,0.36
10,0.32,0.36
11,0.32,0.35
12,0.32,0.35
13,0.31,0.36
14,0.31,0.36
15,0.31,0.36
16,0.31,0.36
17,0.32,0.35
18,0.32,0.35
19,0.31,0.35
20,0.31,0.35
21,0.3,0.35
22,0.3,0.35
23,0.3,0.35
24,0.3,0.35
25,0.29,0.35
26,0.28,0.35
27,0.28,0.35
28,0.28,0.35
29,0.28,0.35
30,0.27,0.35
31,0.26,0.35
32,0.27,0.34
33,0.27,0.33
34,0.27,0.33
35,0.27,0.32
36,0.27,0.32
37,0.27,0.31
38,0.27,0.31
39,0.27,0.31
40,0.27,0.31
41,0.27,0.31
42,0.27,0.31
43,0.27,0.31
44,0.27,0.31
45,0.27,0.31
46,0.27,0.31
47,0.27,0.31
48,0.27,0.31
49,0.27,0.31
50,0.27,0.31
51,0.28,0.31
52,0.28,0.31
53,0.28,0.31
54,0.28,0.31
55,0.27,0.31
56,0.27,0.31
57,0.27,0.31
58,0.27,0.31
59,0.27,0.31
60,0.27,0.31
61,0.27,0.31
62,0.27,0.31
63,0.27,0.31
64,0.27,0.31
65,0.26,0.31
66,0.25,0.31
67,0.25,0.32
68,0.25,0.32
69,0.25,0.32
70,0.25,0.32
71,0.24,0.32
72,0.23,0.33
73,0.23,0.33
74,0.23,0.33
75,0.23,0.33
76,0.23,0.33
77,0.23,0.33
78,0.22,0.33
79,0.21,0.33
80,0.22,0.32
81,0.22,0.32
82,0.22,0.32
83,0.22,0.32
84,0.22,0.31
85,0.22,0.3
86,0.22,0.3
87,0.21,0.3
88,0.21,0.3
89,0.21,0.3
90,0.21,0.3
91,0.21,0.3
92,0.21,0.3
93,0.21,0.3
94,0.21,0.3
95,0.21,0.3
96,0.21,0.3
97,0.21,0.3
98,0.21,0.3
99,0.21,0.3
100,0.21,0.3
101,0.21,0.3
102,0.21,0.3
103,0.21,0.3
104,0.21,0.3
105,0.21,0.3
106,0.21,0.29
107,0.21,0.29
108,0.21,0.29
109,0.21,0.29
110,0.21,0.29
111,0.21,0.29
112,0.2,0.3
113,0.2,0.3
114,0.2,0.3
115,0.2,0.3
116,0.2,0.3
117,0.2,0.29
118,0.2,0.29
119,0.2,0.29
120,0.2,0.29
121,0.2,0.29
122,0.2,0.29
123,0.2,0.29
124,0.2,0.29
125,0.2,0.29
126,0.2,0.29
127,0.2,0.29
128,0.2,0.29
129,0.2,0.29
130,0.2,0.29
131,0.2,0.28
132,0.2,0.28
133,0.2,0.28
134,0.2,0.28
135,0.2,0.28
136,0.19,0.28
137,0.19,0.28
138,0.19,0.28
139,0.19,0.28
140,0.19,0.28
141,0.19,0.28
142,0.19,0.28
143,0.19,0.28
144,0.19,0.29
145,0.19,0.29
146,0.19,0.29
147,0.19,0.29
148,0.19,0.28
149,0.19,0.28
150,0.19,0.28
151,0.19,0.28
152,0.19,0.27
153,0.19,0.27
154,0.19,0.27
155,0.19,0.26
156,0.18,0.26
157,0.17,0.26
158,0.16,0.26
159,0.16,0.25
160,0.16,0.25
161,0.16,0.25
162,0.16,0.25
163,0.16,0.25
164,0.16,0.26
165,0.16,0.26
166,0.16,0.26
167,0.15,0.26
168,0.15,0.27
169,0.15,0.27
170,0.15,0.27
171,0.15,0.27
172,0.15,0.27
173,0.15,0.27
174,0.15,0.27
175,0.15,0.27
176,0.15,0.27
177,0.15,0.27
178,0.15,0.27
179,0.15,0.27
180,0.15,0.27
181,0.15,0.26
182,0.15,0.27
183,0.15,0.27
184,0.15,0.27
185,0.15,0.27
186,0.15,0.27
187,0.15,0.27
188,0.15,0.27
189,0.15,0.27
190,0.15,0.26
191,0.15,0.26
192,0.15,0.26
193,0.16,0.26
194,0.16,0.26
195,0.16,0.26
196,0.16,0.26
197,0.16,0.26
198,0.16,0.27
199,0.16,0.27
200,0.16,0.27
201,0.16,0.27
202,0.16,0.27
203,0.16,0.27
204,0.16,0.27
205,0.16,0.27
206,0.16,0.27
207,0.16,0.27
208,0.16,0.27
209,0.15,0.27
210,0.15,0.27
211,0.15,0.27
212,0.15,0.27
213,0.15,0.27
214,0.15,0.26
215,0.15,0.25
216,0.15,0.25
217,0.15,0.25
218,0.15,0.25
219,0.15,0.25
220,0.15,0.25
221,0.15,0.25
222,0.15,0.25
223,0.15,0.25
224,0.15,0.25
225,0.15,0.25
226,0.15,0.25
227,0.15,0.25
228,0.15,0.24
