,r,fc
0,0.0000,0.49159781249999995
0,0.0020,0.49223568749999996
0,0.0040,0.4911913749999999
0,0.0060,0.4912118750000001
0,0.0080,0.4911476875000001
0,0.0100,0.4911761250000001
0,0.0120,0.4905256874999999
0,0.0140,0.490391
0,0.0160,0.4907945000000001
0,0.0180,0.49051162499999995
0,0.0200,0.49054881249999993
0,0.0202,0.49035799999999985
0,0.0204,0.4904255625
0,0.0206,0.490431375
0,0.0208,0.4901220624999999
0,0.0210,0.4903756250000001
0,0.0212,0.4900115625000002
0,0.0214,0.4898349375000002
0,0.0216,0.49020818750000006
0,0.0218,0.48988493750000006
0,0.0220,0.4903170625
0,0.0240,0.49034468749999993
0,0.0260,0.4902275625
0,0.0280,0.49028137499999985
