,r,fc
0,2.0000,1.0
0,2.0500,1.0
0,2.1000,1.0
0,2.1500,1.0
0,2.2000,1.0
0,2.2500,1.0
0,2.3000,1.0
0,2.3500,1.0
0,2.4000,1.0
0,2.4500,1.0
0,2.5000,1.0
0,2.5500,1.0
0,2.6000,1.0
0,2.6500,1.0
0,2.7000,1.0
0,2.7500,1.0
0,2.8000,1.0
0,2.8500,1.0
0,2.9000,1.0
0,2.9500,1.0
0,3.0000,1.0
0,3.0500,1.0
0,3.1000,1.0
0,3.1500,1.0
0,3.2000,1.0
0,3.2500,1.0
0,3.3000,1.0
0,3.3500,1.0
0,3.4000,1.0
0,3.4500,1.0
0,3.5000,1.0
0,3.5500,1.0
0,3.6000,1.0
0,3.6500,1.0
0,3.7000,1.0
0,3.7500,1.0
0,3.8000,1.0
0,3.8500,1.0
0,3.9000,1.0
0,3.9500,1.0
0,4.0000,1.0
0,4.0500,1.0
0,4.1000,1.0
0,4.1500,1.0
0,4.2000,1.0
0,4.2500,1.0
0,4.3000,1.0
0,4.3500,1.0
0,4.4000,1.0
0,4.4500,1.0
0,4.5000,1.0
0,4.5500,1.0
0,4.6000,1.0
0,4.6500,1.0
0,4.7000,1.0
0,4.7500,1.0
0,4.8000,1.0
0,4.8500,1.0
0,4.9000,1.0
0,4.9500,1.0
