,r,fc
0,1.0000,0.0
0,1.1000,0.0
0,1.2000,0.0
0,1.3000,0.0
0,1.4000,0.0
0,1.5000,0.0
0,1.6000,0.0
0,1.7000,0.0
0,1.8000,0.0
0,1.9000,0.0
0,2.0000,0.0
0,2.1000,0.0
0,2.2000,0.0
0,2.3000,0.0
0,2.4000,0.0
0,2.5000,0.0
0,2.6000,0.0
0,2.7000,0.0
0,2.8000,0.0
0,2.9000,0.0
0,3.0000,0.0
0,3.1000,0.0
0,3.2000,0.0
0,3.3000,0.0
0,3.4000,0.0
0,3.5000,0.0
0,3.6000,0.0
0,3.7000,0.0
0,3.8000,0.0
0,3.9000,0.0
0,4.0000,0.0
0,4.1000,0.0
0,4.2000,0.0
0,4.3000,0.0
0,4.4000,0.0
0,4.5000,0.0
0,4.6000,0.0
0,4.7000,0.0
0,4.8000,0.0
0,4.9000,0.0
0,5.0000,0.0
0,5.1000,0.0
0,5.2000,0.0
0,5.3000,0.0
0,5.4000,0.0
0,5.5000,1.0
0,5.6000,0.0
0,5.7000,1.0
0,5.8000,0.0
0,5.9000,0.0
