,r,fc
0,0.0000,0.45131874999999994
0,0.0040,0.44933749999999995
0,0.0080,0.43515625
0,0.0120,0.4450187500000001
0,0.0160,0.43636875
0,0.0200,0.43558749999999996
0,0.0240,0.44198125000000005
0,0.0280,0.4287874999999999
0,0.0320,0.43746875
0,0.0360,0.43816249999999995
0,0.0400,0.43322499999999997
0,0.0440,0.4232687499999999
0,0.0480,0.4430625000000001
0,0.0520,0.42113750000000005
0,0.0560,0.426225
0,0.0600,0.4281999999999999
0,0.0640,0.4249437499999999
0,0.0680,0.42570625000000006
0,0.0720,0.41815624999999995
0,0.0760,0.40626874999999996
0,0.0800,0.41556875
0,0.0840,0.41560625
0,0.0880,0.42001875000000005
0,0.0920,0.41695
0,0.0960,0.41815
0,0.1000,0.41316250000000004
0,0.1040,0.40309375000000003
0,0.1080,0.4150125
0,0.1120,0.41504374999999993
0,0.1160,0.40369374999999996
0,0.1200,0.41379999999999995
0,0.1240,0.40444374999999994
0,0.1280,0.40495625
0,0.1320,0.39504374999999997
0,0.1360,0.39440625000000007
0,0.1400,0.40065625
0,0.1440,0.4055625
0,0.1480,0.39693124999999996
0,0.1520,0.3918875
0,0.1560,0.3919124999999999
0,0.1600,0.38752499999999995
0,0.1640,0.3893750000000001
0,0.1680,0.38684999999999997
0,0.1720,0.3869875
0,0.1760,0.3899875
0,0.1800,0.38381874999999993
0,0.1840,0.3938375
0,0.1880,0.3886625
0,0.1920,0.39131249999999995
0,0.1960,0.3825124999999999
0,0.2000,0.3937875
0,0.2040,0.38683124999999996
0,0.2080,0.38184999999999997
0,0.2120,0.3881562499999999
0,0.2160,0.3868937499999999
0,0.2200,0.38503750000000003
0,0.2240,0.3825624999999999
0,0.2280,0.3806625000000001
0,0.2320,0.3782500000000001
0,0.2360,0.37691874999999997
0,0.2400,0.37500625000000004
0,0.2440,0.37493750000000003
0,0.2480,0.37070000000000003
0,0.2520,0.3687125000000001
0,0.2560,0.37308125
0,0.2600,0.37444374999999996
0,0.2640,0.37630625
0,0.2680,0.36703125000000014
0,0.2720,0.37064375
0,0.2760,0.36874375
0,0.2800,0.36869375000000004
0,0.2840,0.36879375
0,0.2880,0.3688
0,0.2920,0.36995
0,0.2960,0.36933750000000004
0,0.3000,0.36803749999999996
0,0.3040,0.3688125000000001
0,0.3080,0.36813125
0,0.3120,0.36874375
0,0.3160,0.36806875000000006
0,0.3200,0.36706874999999994
0,0.3240,0.3669
0,0.3280,0.3673812500000001
0,0.3320,0.36873124999999995
0,0.3360,0.36673125
0,0.3400,0.36495625000000004
0,0.3440,0.3661874999999999
0,0.3480,0.36616249999999995
0,0.3520,0.36564375
0,0.3560,0.36631250000000004
0,0.3600,0.36503125000000003
0,0.3640,0.3656000000000001
0,0.3680,0.36565625
0,0.3720,0.3649812500000001
0,0.3760,0.36499374999999995
0,0.3800,0.3649625
0,0.3840,0.363875
0,0.3880,0.36565624999999996
0,0.3920,0.3638375
0,0.3960,0.36445000000000005
0,0.4000,0.36371249999999994
0,0.4040,0.36428125
0,0.4080,0.36501875
0,0.4120,0.36436250000000003
0,0.4160,0.36376875
0,0.4200,0.3644562499999999
0,0.4240,0.36178125
0,0.4280,0.3638375
0,0.4320,0.36188125
0,0.4360,0.36316875000000004
0,0.4400,0.36306875
0,0.4440,0.36314375000000004
0,0.4480,0.36201875
0,0.4520,0.36186875
0,0.4560,0.36066249999999994
0,0.4600,0.36248125000000003
0,0.4640,0.3625125
0,0.4680,0.36065624999999996
0,0.4720,0.3601062499999999
0,0.4760,0.36064999999999997
0,0.4800,0.3600812499999999
0,0.4840,0.36055
0,0.4880,0.3605625
0,0.4920,0.36199375000000006
0,0.4960,0.36118750000000005
0,0.5000,0.3613375
0,0.5040,0.35995625
0,0.5080,0.35879999999999995
0,0.5120,0.36064999999999997
0,0.5160,0.3575124999999999
0,0.5200,0.3594625000000001
0,0.5240,0.3587312500000001
0,0.5280,0.35813750000000005
0,0.5320,0.36005624999999997
0,0.5360,0.35807500000000003
0,0.5400,0.35808125
0,0.5440,0.357525
0,0.5480,0.35938124999999993
0,0.5520,0.35622499999999996
0,0.5560,0.35877499999999996
0,0.5600,0.3569062500000001
0,0.5640,0.35560624999999996
0,0.5680,0.35572499999999996
0,0.5720,0.3569625
0,0.5760,0.35685625000000004
0,0.5800,0.3543624999999999
0,0.5840,0.35441875
0,0.5880,0.35502500000000003
0,0.5920,0.35506249999999995
0,0.5960,0.35631250000000003
