,r,fc
0,0.0000,0.38669999999999993
0,0.0050,0.40210000000000007
0,0.0100,0.3955
0,0.0150,0.4202
0,0.0200,0.44300000000000006
0,0.0250,0.34020000000000006
0,0.0300,0.36290000000000006
0,0.0350,0.4261
0,0.0400,0.36229999999999996
0,0.0450,0.3636
0,0.0500,0.33770000000000006
0,0.0550,0.34790000000000004
0,0.0600,0.39
0,0.0650,0.39150000000000007
0,0.0700,0.34789999999999993
0,0.0750,0.3739
0,0.0800,0.3325
0,0.0850,0.33260000000000006
0,0.0900,0.38919999999999993
0,0.0950,0.33020000000000005
0,0.1000,0.3661000000000001
0,0.1050,0.3534999999999999
0,0.1100,0.30749999999999994
0,0.1150,0.2993
0,0.1200,0.2975
0,0.1250,0.319
0,0.1300,0.3196
0,0.1350,0.3095
0,0.1400,0.3174
0,0.1450,0.3187
0,0.1500,0.31859999999999994
0,0.1550,0.3206
0,0.1600,0.3167
0,0.1650,0.31779999999999997
0,0.1700,0.3165
0,0.1750,0.3166
0,0.1800,0.3178
0,0.1850,0.3133
0,0.1900,0.3168
0,0.1950,0.3127
0,0.2000,0.3134
0,0.2050,0.3133999999999999
0,0.2100,0.3098
0,0.2150,0.31739999999999996
0,0.2200,0.3131
0,0.2250,0.31299999999999994
0,0.2300,0.3119
0,0.2350,0.3122
0,0.2400,0.3132
0,0.2450,0.31249999999999994
0,0.2500,0.3118
0,0.2550,0.3124
0,0.2600,0.3128
0,0.2650,0.31059999999999993
0,0.2700,0.3097
0,0.2750,0.3099
0,0.2800,0.3096
0,0.2850,0.30850000000000005
0,0.2900,0.3124
0,0.2950,0.31189999999999996
0,0.3000,0.3118
0,0.3050,0.3108
0,0.3100,0.3122
0,0.3150,0.3115
0,0.3200,0.30870000000000003
0,0.3250,0.3102
0,0.3300,0.3112
0,0.3350,0.30920000000000003
0,0.3400,0.3108
0,0.3450,0.31259999999999993
0,0.3500,0.3105
0,0.3550,0.3115
0,0.3600,0.30910000000000004
0,0.3650,0.31250000000000006
0,0.3700,0.30999999999999994
0,0.3750,0.3115
0,0.3800,0.3126
0,0.3850,0.3087
0,0.3900,0.3091999999999999
0,0.3950,0.30850000000000005
0,0.4000,0.30999999999999994
0,0.4050,0.3116
0,0.4100,0.30820000000000003
0,0.4150,0.307
0,0.4200,0.3123
0,0.4250,0.3105
0,0.4300,0.31029999999999996
0,0.4350,0.31029999999999996
0,0.4400,0.313
0,0.4450,0.3091
0,0.4500,0.3118
0,0.4550,0.3099
0,0.4600,0.3094
0,0.4650,0.31059999999999993
0,0.4700,0.3094
0,0.4750,0.31239999999999996
0,0.4800,0.3103
0,0.4850,0.3102
0,0.4900,0.31029999999999996
0,0.4950,0.3096
