,r,fc
0,0.0000,0.40979999999999994
0,0.0050,0.4228
0,0.0100,0.4102
0,0.0150,0.30229999999999996
0,0.0200,0.3901
0,0.0250,0.36200000000000004
0,0.0300,0.35019999999999996
0,0.0350,0.27780000000000005
0,0.0400,0.3893000000000001
0,0.0450,0.3907
0,0.0500,0.3668999999999999
0,0.0550,0.27099999999999996
0,0.0600,0.32339999999999997
0,0.0650,0.272
0,0.0700,0.34789999999999993
0,0.0750,0.3696
0,0.0800,0.2619
0,0.0850,0.2622
0,0.0900,0.26170000000000004
0,0.0950,0.2622
0,0.1000,0.26280000000000003
0,0.1050,0.25849999999999995
0,0.1100,0.2607
0,0.1150,0.36260000000000003
0,0.1200,0.2625
0,0.1250,0.3464999999999999
0,0.1300,0.2576
0,0.1350,0.1992
0,0.1400,0.25980000000000003
0,0.1450,0.26030000000000003
0,0.1500,0.2598999999999999
0,0.1550,0.26080000000000003
0,0.1600,0.2588
0,0.1650,0.25739999999999996
0,0.1700,0.2589
0,0.1750,0.2571
0,0.1800,0.25780000000000003
0,0.1850,0.25170000000000003
0,0.1900,0.2523
0,0.1950,0.25730000000000003
0,0.2000,0.2588
0,0.2050,0.25029999999999997
0,0.2100,0.25899999999999995
0,0.2150,0.25190000000000007
0,0.2200,0.2512
0,0.2250,0.2524
0,0.2300,0.24839999999999995
0,0.2350,0.25020000000000003
0,0.2400,0.24860000000000004
0,0.2450,0.24169999999999997
0,0.2500,0.25020000000000003
0,0.2550,0.252
0,0.2600,0.2476
0,0.2650,0.25239999999999996
0,0.2700,0.24240000000000003
0,0.2750,0.2494
0,0.2800,0.25239999999999996
0,0.2850,0.24739999999999998
0,0.2900,0.2416
0,0.2950,0.2477
0,0.3000,0.248
0,0.3050,0.2421
0,0.3100,0.2425
0,0.3150,0.24830000000000005
0,0.3200,0.2486
0,0.3250,0.24100000000000008
0,0.3300,0.24009999999999998
0,0.3350,0.2523
0,0.3400,0.2382
0,0.3450,0.24110000000000004
0,0.3500,0.24779999999999996
0,0.3550,0.2413
0,0.3600,0.23760000000000006
0,0.3650,0.24060000000000004
0,0.3700,0.24160000000000004
0,0.3750,0.2425
0,0.3800,0.2407
0,0.3850,0.24170000000000003
0,0.3900,0.2416
0,0.3950,0.24169999999999997
0,0.4000,0.23829999999999998
0,0.4050,0.2402
0,0.4100,0.24180000000000004
0,0.4150,0.23840000000000003
0,0.4200,0.24009999999999998
0,0.4250,0.2414
0,0.4300,0.24230000000000002
0,0.4350,0.23970000000000005
0,0.4400,0.24110000000000004
0,0.4450,0.2408
0,0.4500,0.24029999999999999
0,0.4550,0.2413
0,0.4600,0.23850000000000005
0,0.4650,0.24119999999999997
0,0.4700,0.24160000000000004
0,0.4750,0.24170000000000003
0,0.4800,0.23159999999999997
0,0.4850,0.24009999999999995
0,0.4900,0.23800000000000002
0,0.4950,0.24190000000000006
