,r,fc
0,0.0000,0.3468
0,0.0050,0.33169999999999994
0,0.0100,0.31720000000000004
0,0.0150,0.3298
0,0.0200,0.32720000000000005
0,0.0250,0.31300000000000006
0,0.0300,0.3015
0,0.0350,0.25839999999999996
0,0.0400,0.2917
0,0.0450,0.27140000000000003
0,0.0500,0.2779
0,0.0550,0.2674000000000001
0,0.0600,0.2408
0,0.0650,0.25920000000000004
0,0.0700,0.24740000000000006
0,0.0750,0.2507
0,0.0800,0.2677
0,0.0850,0.26710000000000006
0,0.0900,0.2318
0,0.0950,0.24849999999999997
0,0.1000,0.24210000000000004
0,0.1050,0.19030000000000002
0,0.1100,0.23800000000000002
0,0.1150,0.2473
0,0.1200,0.23840000000000003
0,0.1250,0.19029999999999997
0,0.1300,0.23180000000000003
0,0.1350,0.22129999999999994
0,0.1400,0.22060000000000002
0,0.1450,0.2306
0,0.1500,0.1893
0,0.1550,0.23020000000000004
0,0.1600,0.18969999999999998
0,0.1650,0.23190000000000002
0,0.1700,0.2279
0,0.1750,0.21810000000000002
0,0.1800,0.2219
0,0.1850,0.22200000000000003
0,0.1900,0.22160000000000005
0,0.1950,0.22220000000000006
0,0.2000,0.2195
0,0.2050,0.22820000000000001
0,0.2100,0.22820000000000001
0,0.2150,0.2202
0,0.2200,0.22220000000000004
0,0.2250,0.2211
0,0.2300,0.20140000000000005
0,0.2350,0.23060000000000003
0,0.2400,0.21790000000000007
0,0.2450,0.22180000000000002
0,0.2500,0.22220000000000004
0,0.2550,0.22020000000000003
0,0.2600,0.22090000000000004
0,0.2650,0.21230000000000002
0,0.2700,0.2285
0,0.2750,0.2199
0,0.2800,0.21830000000000002
0,0.2850,0.228
0,0.2900,0.218
0,0.2950,0.2079
