,r,fc
0,0.0000,0.9549
0,0.0050,0.9899999999999999
0,0.0100,0.9551
0,0.0150,0.9446999999999997
0,0.0200,0.9451999999999998
0,0.0250,0.9548999999999999
0,0.0300,0.9454999999999998
0,0.0350,0.9250000000000002
0,0.0400,0.9548999999999999
0,0.0450,0.9250000000000002
0,0.0500,0.9559000000000001
0,0.0550,0.9545999999999999
0,0.0600,0.9342999999999998
0,0.0650,0.8958000000000002
0,0.0700,0.9456999999999998
0,0.0750,0.8593
0,0.0800,0.9247000000000001
0,0.0850,0.9057000000000001
0,0.0900,0.8957
0,0.0950,0.97
0,0.1000,0.9034000000000002
0,0.1050,0.8736
0,0.1100,0.935
0,0.1150,0.8578999999999999
0,0.1200,0.8645999999999998
0,0.1250,0.9347
0,0.1300,0.8947000000000002
0,0.1350,0.9027000000000001
0,0.1400,0.8748
0,0.1450,0.9349000000000001
0,0.1500,0.8532999999999997
0,0.1550,0.8728999999999999
0,0.1600,0.8281999999999996
0,0.1650,0.8093999999999998
0,0.1700,0.8930000000000002
0,0.1750,0.8576999999999998
0,0.1800,0.8687999999999999
0,0.1850,0.7967000000000002
0,0.1900,0.7933999999999999
0,0.1950,0.8894999999999998
0,0.2000,0.8634
0,0.2050,0.8515999999999997
0,0.2100,0.7785000000000001
0,0.2150,0.7831999999999999
0,0.2200,0.7674000000000001
0,0.2250,0.8249999999999998
0,0.2300,0.7979999999999998
0,0.2350,0.8389999999999997
0,0.2400,0.8329
0,0.2450,0.8241999999999998
0,0.2500,0.8545999999999998
0,0.2550,0.8543999999999998
0,0.2600,0.8242
0,0.2650,0.7728999999999999
0,0.2700,0.8441999999999998
0,0.2750,0.7536
0,0.2800,0.7942
0,0.2850,0.8798
0,0.2900,0.8338000000000001
0,0.2950,0.7472
0,0.3000,0.7869999999999999
0,0.3050,0.7701000000000002
0,0.3100,0.8336999999999999
0,0.3150,0.7673999999999999
0,0.3200,0.6949999999999998
0,0.3250,0.6866000000000001
0,0.3300,0.7496
0,0.3350,0.7439
0,0.3400,0.8280000000000001
0,0.3450,0.6751999999999999
0,0.3500,0.6998999999999996
0,0.3550,0.7685000000000001
0,0.3600,0.6894
0,0.3650,0.7648999999999999
0,0.3700,0.7295000000000001
0,0.3750,0.7023999999999999
0,0.3800,0.7400999999999999
0,0.3850,0.6769000000000002
0,0.3900,0.759
0,0.3950,0.7834999999999998
0,0.4000,0.7365999999999999
0,0.4050,0.7572000000000001
0,0.4100,0.6711000000000001
0,0.4150,0.7422999999999997
0,0.4200,0.6451
0,0.4250,0.7495999999999999
0,0.4300,0.6802999999999999
0,0.4350,0.6775999999999999
0,0.4400,0.6455
0,0.4450,0.701
0,0.4500,0.7840000000000003
0,0.4550,0.6075999999999999
0,0.4600,0.6175999999999999
0,0.4650,0.5859
0,0.4700,0.6045000000000001
0,0.4750,0.7584000000000001
0,0.4800,0.7019999999999998
0,0.4850,0.6463999999999999
0,0.4900,0.6173000000000001
0,0.4950,0.6356
