,r,t,fc
0,0.9000,1.0,0.51
0,0.9000,2.0,0.51
0,0.9000,3.0,0.52
0,0.9000,4.0,0.51
0,0.9000,5.0,0.52
0,0.9000,6.0,0.53
0,0.9000,7.0,0.53
0,0.9000,8.0,0.52
0,0.9000,9.0,0.52
0,0.9000,10.0,0.53
0,0.9000,11.0,0.52
0,0.9000,12.0,0.52
0,0.9000,13.0,0.51
0,0.9000,14.0,0.5
0,0.9000,15.0,0.5
0,0.9000,16.0,0.5
0,0.9000,17.0,0.5
0,0.9000,18.0,0.5
0,0.9000,19.0,0.5
0,0.9000,20.0,0.5
0,0.9000,21.0,0.5
0,0.9000,22.0,0.5
0,0.9000,23.0,0.5
0,0.9000,24.0,0.51
0,0.9000,25.0,0.52
0,0.9000,26.0,0.52
0,0.9000,27.0,0.51
0,0.9000,28.0,0.52
0,0.9000,29.0,0.51
0,0.9000,30.0,0.5
0,0.9000,31.0,0.5
0,0.9000,32.0,0.51
0,0.9000,33.0,0.5
0,0.9000,34.0,0.5
0,0.9000,35.0,0.51
0,0.9000,36.0,0.51
0,0.9000,37.0,0.5
0,0.9000,38.0,0.5
0,0.9000,39.0,0.5
0,0.9000,40.0,0.5
0,0.9000,41.0,0.5
0,0.9000,42.0,0.51
0,0.9000,43.0,0.51
0,0.9000,44.0,0.51
0,0.9000,45.0,0.51
0,0.9000,46.0,0.5
0,0.9000,47.0,0.5
0,0.9000,48.0,0.5
0,0.9000,49.0,0.5
0,0.9000,50.0,0.5
0,0.9000,51.0,0.49
0,0.9000,52.0,0.5
0,0.9000,53.0,0.51
0,0.9000,54.0,0.51
0,0.9000,55.0,0.51
0,0.9000,56.0,0.51
0,0.9000,57.0,0.5
0,0.9000,58.0,0.5
0,0.9000,59.0,0.5
0,0.9000,60.0,0.5
0,0.9000,61.0,0.5
0,0.9000,62.0,0.5
0,0.9000,63.0,0.5
0,0.9000,64.0,0.5
0,0.9000,65.0,0.49
0,0.9000,66.0,0.49
0,0.9000,67.0,0.49
0,0.9000,68.0,0.49
0,0.9000,69.0,0.49
0,0.9000,70.0,0.49
0,0.9000,71.0,0.48
0,0.9000,72.0,0.48
0,0.9000,73.0,0.48
0,0.9000,74.0,0.48
0,0.9000,75.0,0.48
