Episode:99, r:0.8850, Time:480, fc:0.570
Episode:99, r:0.8850, Time:481, fc:0.570
Episode:99, r:0.8850, Time:482, fc:0.570
Episode:99, r:0.8850, Time:483, fc:0.580
Episode:99, r:0.8850, Time:484, fc:0.580
Episode:99, r:0.8850, Time:485, fc:0.580
Episode:99, r:0.8850, Time:486, fc:0.580
Episode:99, r:0.8850, Time:487, fc:0.580
Episode:99, r:0.8850, Time:488, fc:0.580
Episode:99, r:0.8850, Time:489, fc:0.590
Episode:99, r:0.8850, Time:490, fc:0.590
Episode:99, r:0.8850, Time:491, fc:0.590
Episode:99, r:0.8850, Time:492, fc:0.590
Episode:99, r:0.8850, Time:493, fc:0.590
Episode:99, r:0.8850, Time:494, fc:0.590
Episode:99, r:0.8850, Time:495, fc:0.590
Episode:99, r:0.8850, Time:496, fc:0.590
Episode:99, r:0.8850, Time:497, fc:0.590
Episode:99, r:0.8850, Time:498, fc:0.590
Episode:99, r:0.8850, Time:499, fc:0.590
Episode:99, r:0.8850, Time:500, fc:0.590
Episode:99, r:0.8850, Time:501, fc:0.590
Episode:99, r:0.8850, Time:502, fc:0.590
Episode:99, r:0.8850, Time:503, fc:0.590
Episode:99, r:0.8850, Time:504, fc:0.590
Episode:99, r:0.8850, Time:505, fc:0.590
Episode:99, r:0.8850, Time:506, fc:0.590
Episode:99, r:0.8850, Time:507, fc:0.590
Episode:99, r:0.8850, Time:508, fc:0.590
Episode:99, r:0.8850, Time:509, fc:0.590
Episode:99, r:0.8850, Time:510, fc:0.590
Episode:99, r:0.8850, Time:511, fc:0.600
Episode:99, r:0.8850, Time:512, fc:0.600
Episode:99, r:0.8850, Time:513, fc:0.600
Episode:99, r:0.8850, Time:514, fc:0.600
Episode:99, r:0.8850, Time:515, fc:0.600
Episode:99, r:0.8850, Time:516, fc:0.600
Episode:99, r:0.8850, Time:517, fc:0.600
Episode:99, r:0.8850, Time:518, fc:0.600
Episode:99, r:0.8850, Time:519, fc:0.610
Episode:99, r:0.8850, Time:520, fc:0.610
Episode:99, r:0.8850, Time:521, fc:0.610
Episode:99, r:0.8850, Time:522, fc:0.600
Episode:99, r:0.8850, Time:523, fc:0.600
Episode:99, r:0.8850, Time:524, fc:0.600
Episode:99, r:0.8850, Time:525, fc:0.600
Episode:99, r:0.8850, Time:526, fc:0.600
Episode:99, r:0.8850, Time:527, fc:0.600
Episode:99, r:0.8850, Time:528, fc:0.600
Episode:99, r:0.8850, Time:529, fc:0.600
Episode:99, r:0.8850, Time:530, fc:0.600
Episode:99, r:0.8850, Time:531, fc:0.600
Episode:99, r:0.8850, Time:532, fc:0.600
Episode:99, r:0.8850, Time:533, fc:0.600
Episode:99, r:0.8850, Time:534, fc:0.600
Episode:99, r:0.8850, Time:535, fc:0.610
Episode:99, r:0.8850, Time:536, fc:0.610
Episode:99, r:0.8850, Time:537, fc:0.610
Episode:99, r:0.8850, Time:538, fc:0.610
Episode:99, r:0.8850, Time:539, fc:0.610
Episode:99, r:0.8850, Time:540, fc:0.610
Episode:99, r:0.8850, Time:541, fc:0.610
Episode:99, r:0.8850, Time:542, fc:0.610
Episode:99, r:0.8850, Time:543, fc:0.610
Episode:99, r:0.8850, Time:544, fc:0.610
Episode:99, r:0.8850, Time:545, fc:0.610
Episode:99, r:0.8850, Time:546, fc:0.610
Episode:99, r:0.8850, Time:547, fc:0.610
Episode:99, r:0.8850, Time:548, fc:0.610
Episode:99, r:0.8850, Time:549, fc:0.610
Episode:99, r:0.8850, Time:550, fc:0.610
Episode:99, r:0.8850, Time:551, fc:0.610
Episode:99, r:0.8850, Time:552, fc:0.610
Episode:99, r:0.8850, Time:553, fc:0.610
Episode:99, r:0.8850, Time:554, fc:0.610
Episode:99, r:0.8850, Time:555, fc:0.610
Episode:99, r:0.8850, Time:556, fc:0.610
Episode:99, r:0.8850, Time:557, fc:0.610
Episode:99, r:0.8850, Time:558, fc:0.610
Episode:99, r:0.8850, Time:559, fc:0.610
Episode:99, r:0.8850, Time:560, fc:0.620
Episode:99, r:0.8850, Time:561, fc:0.620
Episode:99, r:0.8850, Time:562, fc:0.620
Episode:99, r:0.8850, Time:563, fc:0.620
Episode:99, r:0.8850, Time:564, fc:0.620
Episode:99, r:0.8850, Time:565, fc:0.620
Episode:99, r:0.8850, Time:566, fc:0.620
Episode:99, r:0.8850, Time:567, fc:0.620
Episode:99, r:0.8850, Time:568, fc:0.620
Episode:99, r:0.8850, Time:569, fc:0.620
Episode:99, r:0.8850, Time:570, fc:0.620
Episode:99, r:0.8850, Time:571, fc:0.620
Episode:99, r:0.8850, Time:572, fc:0.620
Episode:99, r:0.8850, Time:573, fc:0.620
Episode:99, r:0.8850, Time:574, fc:0.630
Episode:99, r:0.8850, Time:575, fc:0.630
Episode:99, r:0.8850, Time:576, fc:0.630
Episode:99, r:0.8850, Time:577, fc:0.630
Episode:99, r:0.8850, Time:578, fc:0.630
Episode:99, r:0.8850, Time:579, fc:0.620
Episode:99, r:0.8850, Time:580, fc:0.620
Episode:99, r:0.8850, Time:581, fc:0.620
Episode:99, r:0.8850, Time:582, fc:0.620
Episode:99, r:0.8850, Time:583, fc:0.620
Episode:99, r:0.8850, Time:584, fc:0.620
Episode:99, r:0.8850, Time:585, fc:0.620
Episode:99, r:0.8850, Time:586, fc:0.630
Episode:99, r:0.8850, Time:587, fc:0.630
Episode:99, r:0.8850, Time:588, fc:0.630
Episode:99, r:0.8850, Time:589, fc:0.630
Episode:99, r:0.8850, Time:590, fc:0.630
Episode:99, r:0.8850, Time:591, fc:0.640
Episode:99, r:0.8850, Time:592, fc:0.640
Episode:99, r:0.8850, Time:593, fc:0.640
Episode:99, r:0.8850, Time:594, fc:0.640
Episode:99, r:0.8850, Time:595, fc:0.640
Episode:99, r:0.8850, Time:596, fc:0.640
Episode:99, r:0.8850, Time:597, fc:0.640
Episode:99, r:0.8850, Time:598, fc:0.640
