,r,fc
0,0.0000,0.055618749999999995
0,0.0020,0.0631375
0,0.0040,0.05441875
0,0.0060,0.04689375
0,0.0080,0.05560625000000001
0,0.0100,0.043156249999999986
0,0.0120,0.04126250000000001
0,0.0140,0.037506250000000005
0,0.0160,0.04431875
0,0.0180,0.05186249999999999
0,0.0200,0.0
0,0.0220,0.0
0,0.0240,0.0
0,0.0260,0.0
0,0.0280,0.036887500000000004
0,0.0300,0.025606249999999994
0,0.0320,0.0
0,0.0340,0.0
0,0.0360,0.0313
0,0.0380,0.0
0,0.0400,0.0
0,0.0420,0.0
0,0.0440,0.0
0,0.0460,0.0
0,0.0480,0.0
0,0.0500,0.0
0,0.0520,0.0
0,0.0540,0.0
0,0.0560,0.0
0,0.0580,0.0
0,0.0600,0.0
0,0.0620,0.0
0,0.0640,0.0
0,0.0660,0.0
0,0.0680,0.0
0,0.0700,0.0
0,0.0720,0.0
0,0.0740,0.0
0,0.0760,0.0
0,0.0780,0.0
