,r,fc
0,0.0000,0.14029999999999998
0,0.0100,0.14139999999999997
0,0.0200,0.131
0,0.0300,0.1301
0,0.0400,0.13080000000000003
0,0.0500,0.12960000000000002
0,0.0600,0.14029999999999998
0,0.0700,0.1307
0,0.0800,0.1314
0,0.0900,0.12100000000000001
0,0.1000,0.11930000000000003
0,0.1100,0.13110000000000002
0,0.1200,0.1205
0,0.1300,0.1291
0,0.1400,0.11020000000000003
0,0.1500,0.1202
0,0.1600,0.1295
0,0.1700,0.1091
0,0.1800,0.11960000000000001
0,0.1900,0.11059999999999999
0,0.2000,0.11030000000000001
0,0.2100,0.09949999999999999
0,0.2200,0.10020000000000003
0,0.2300,0.10120000000000003
0,0.2400,0.09919999999999998
0,0.2500,0.10930000000000004
0,0.2600,0.11060000000000002
0,0.2700,0.09949999999999999
0,0.2800,0.1099
0,0.2900,0.09979999999999999
0,0.3000,0.0
0,0.3100,0.1107
0,0.3200,0.09919999999999998
0,0.3300,0.1001
0,0.3400,0.10030000000000003
0,0.3500,0.09880000000000001
0,0.3600,0.0
0,0.3700,0.10060000000000002
0,0.3800,0.09040000000000002
0,0.3900,0.0993
0,0.4000,0.11900000000000002
0,0.4100,0.10100000000000003
0,0.4200,0.09960000000000001
0,0.4300,0.0995
0,0.4400,0.10999999999999999
0,0.4500,0.09910000000000001
0,0.4600,0.09899999999999999
0,0.4700,0.09970000000000001
0,0.4800,0.10080000000000004
0,0.4900,0.0
0,0.5000,0.10059999999999998
0,0.5100,0.10930000000000001
0,0.5200,0.1002
0,0.5300,0.0
0,0.5400,0.10050000000000002
0,0.5500,0.0908
0,0.5600,0.09059999999999999
0,0.5700,0.1009
0,0.5800,0.09
0,0.5900,0.09880000000000003
0,0.6000,0.099
0,0.6100,0.10090000000000002
0,0.6200,0.10069999999999998
0,0.6300,0.09960000000000002
0,0.6400,0.10080000000000001
0,0.6500,0.09889999999999997
0,0.6600,0.09929999999999999
0,0.6700,0.12030000000000002
0,0.6800,0.0
0,0.6900,0.11060000000000002
0,0.7000,0.09990000000000002
0,0.7100,0.1207
0,0.7200,0.1
0,0.7300,0.10130000000000003
0,0.7400,0.1008
0,0.7500,0.10889999999999998
0,0.7600,0.11040000000000003
0,0.7700,0.11000000000000001
0,0.7800,0.10870000000000003
0,0.7900,0.1201
0,0.8000,0.109
0,0.8100,0.1099
0,0.8200,0.1288
0,0.8300,0.12000000000000002
0,0.8400,0.10900000000000003
0,0.8500,0.10880000000000002
0,0.8600,0.1107
0,0.8700,0.11030000000000002
0,0.8800,0.1193
0,0.8900,0.11049999999999999
0,0.9000,0.12060000000000003
0,0.9100,0.10999999999999999
0,0.9200,0.12000000000000002
0,0.9300,0.13160000000000005
0,0.9400,0.13040000000000002
0,0.9500,0.1206
0,0.9600,0.12080000000000002
0,0.9700,0.12019999999999997
0,0.9800,0.1188
0,0.9900,0.1209
