,r,fc
0,0.0000,0.16849999999999996
0,0.0030,0.1692
0,0.0060,0.16939999999999997
0,0.0090,0.15819999999999998
0,0.0120,0.1607
0,0.0150,0.16049999999999998
0,0.0180,0.13979999999999998
0,0.0210,0.168
0,0.0240,0.17029999999999998
0,0.0270,0.1591
0,0.0300,0.149
0,0.0330,0.15929999999999997
0,0.0360,0.14980000000000002
0,0.0390,0.16029999999999997
0,0.0420,0.14900000000000002
0,0.0450,0.0
0,0.0480,0.15860000000000002
0,0.0510,0.0
0,0.0540,0.0
0,0.0570,0.1406
0,0.0600,0.139
0,0.0630,0.1492
0,0.0660,0.13909999999999997
0,0.0690,0.13049999999999998
0,0.0720,0.0
0,0.0750,0.0
0,0.0780,0.0
0,0.0810,0.1487
0,0.0840,0.0
0,0.0870,0.1509
0,0.0900,0.0
0,0.0930,0.1389
0,0.0960,0.0
0,0.0990,0.13969999999999996
0,0.1020,0.0
0,0.1050,0.1408
0,0.1080,0.13090000000000002
0,0.1110,0.0
0,0.1140,0.1398
0,0.1170,0.1313
0,0.1200,0.0
0,0.1230,0.0
0,0.1260,0.0
0,0.1290,0.0
0,0.1320,0.11900000000000002
0,0.1350,0.0
0,0.1380,0.1298
0,0.1410,0.13140000000000002
0,0.1440,0.12940000000000002
0,0.1470,0.0
0,0.1500,0.0
0,0.1530,0.12110000000000003
0,0.1560,0.0
0,0.1590,0.12980000000000003
0,0.1620,0.1202
0,0.1650,0.0
0,0.1680,0.12969999999999998
0,0.1710,0.11899999999999998
0,0.1740,0.12100000000000004
0,0.1770,0.0
0,0.1800,0.1315
0,0.1830,0.0
0,0.1860,0.0
0,0.1890,0.0
0,0.1920,0.0
0,0.1950,0.0
0,0.1980,0.1292
0,0.2010,0.0
0,0.2040,0.0
0,0.2070,0.0
0,0.2100,0.0
0,0.2130,0.0
0,0.2160,0.0
0,0.2190,0.0
0,0.2220,0.0
0,0.2250,0.0
0,0.2280,0.1001
0,0.2310,0.0
0,0.2340,0.0
0,0.2370,0.0
0,0.2400,0.11939999999999999
0,0.2430,0.0
0,0.2460,0.1109
0,0.2490,0.0
0,0.2520,0.0
0,0.2550,0.0
0,0.2580,0.0
0,0.2610,0.0
0,0.2640,0.0
0,0.2670,0.0
0,0.2700,0.0
0,0.2730,0.0
0,0.2760,0.0
0,0.2790,0.0
0,0.2820,0.0
0,0.2850,0.0
0,0.2880,0.0
0,0.2910,0.0
0,0.2940,0.0
0,0.2970,0.0
