,r,fc
0,0.0000,0.5273
0,0.0050,0.5121
0,0.0100,0.5171999999999999
0,0.0150,0.5594
0,0.0200,0.4610000000000001
0,0.0250,0.46079999999999993
0,0.0300,0.468
0,0.0350,0.45049999999999996
0,0.0400,0.45299999999999996
0,0.0450,0.4660000000000001
0,0.0500,0.44000000000000006
0,0.0550,0.4272000000000001
0,0.0600,0.4497
0,0.0650,0.4546
0,0.0700,0.4623999999999999
0,0.0750,0.45699999999999996
0,0.0800,0.4293000000000001
0,0.0850,0.41680000000000006
0,0.0900,0.41809999999999986
0,0.0950,0.4058000000000001
0,0.1000,0.37829999999999997
0,0.1050,0.4215
0,0.1100,0.3836
0,0.1150,0.41400000000000003
0,0.1200,0.4229
0,0.1250,0.3897
0,0.1300,0.44360000000000016
0,0.1350,0.33949999999999997
0,0.1400,0.44719999999999993
0,0.1450,0.35900000000000004
0,0.1500,0.39649999999999996
0,0.1550,0.39189999999999997
0,0.1600,0.3815999999999999
0,0.1650,0.35269999999999996
0,0.1700,0.36080000000000007
0,0.1750,0.3862
0,0.1800,0.4013000000000001
0,0.1850,0.39280000000000004
0,0.1900,0.33039999999999997
0,0.1950,0.4024999999999999
0,0.2000,0.30979999999999996
0,0.2050,0.3400000000000001
0,0.2100,0.29719999999999996
0,0.2150,0.32770000000000005
0,0.2200,0.34879999999999994
0,0.2250,0.3369
0,0.2300,0.3326
0,0.2350,0.32789999999999997
0,0.2400,0.3772
0,0.2450,0.33020000000000005
0,0.2500,0.33770000000000006
0,0.2550,0.34720000000000006
0,0.2600,0.3663
0,0.2650,0.33299999999999996
0,0.2700,0.3371
0,0.2750,0.3215
0,0.2800,0.32270000000000004
0,0.2850,0.3273
0,0.2900,0.28729999999999994
0,0.2950,0.302
0,0.3000,0.3191
0,0.3050,0.31739999999999996
0,0.3100,0.317
0,0.3150,0.3131
0,0.3200,0.3127
0,0.3250,0.3087
0,0.3300,0.29290000000000005
0,0.3350,0.27890000000000004
0,0.3400,0.2827
0,0.3450,0.3217999999999999
0,0.3500,0.30269999999999997
0,0.3550,0.31129999999999997
0,0.3600,0.3276
0,0.3650,0.2625
0,0.3700,0.29960000000000003
0,0.3750,0.2925
0,0.3800,0.3074
0,0.3850,0.2824
0,0.3900,0.27740000000000004
0,0.3950,0.2808
0,0.4000,0.32299999999999995
0,0.4050,0.2927
0,0.4100,0.3171
0,0.4150,0.309
0,0.4200,0.2926
0,0.4250,0.3283
0,0.4300,0.2974
0,0.4350,0.32659999999999995
0,0.4400,0.2803
0,0.4450,0.3204999999999999
0,0.4500,0.2991
0,0.4550,0.29289999999999994
0,0.4600,0.26160000000000005
0,0.4650,0.2929
0,0.4700,0.2901
0,0.4750,0.27730000000000005
0,0.4800,0.3095
0,0.4850,0.27890000000000004
0,0.4900,0.2883
0,0.4950,0.2581
