,r,fc
0,0.0000,1.0
0,0.0051,1.0
0,0.0102,1.0
0,0.0153,1.0
0,0.0204,1.0
0,0.0255,1.0
0,0.0306,1.0
0,0.0357,1.0
0,0.0408,1.0
0,0.0459,1.0
0,0.0510,1.0
0,0.0561,1.0
0,0.0612,1.0
0,0.0663,1.0
0,0.0714,1.0
0,0.0765,1.0
0,0.0816,1.0
0,0.0867,1.0
0,0.0918,1.0
0,0.0969,1.0
0,0.1020,1.0
0,0.1071,1.0
0,0.1122,1.0
0,0.1173,1.0
0,0.1224,1.0
0,0.1275,1.0
0,0.1326,1.0
0,0.1377,1.0
0,0.1428,1.0
0,0.1479,1.0
0,0.1530,1.0
0,0.1581,1.0
0,0.1632,1.0
0,0.1683,1.0
0,0.1734,1.0
0,0.1785,1.0
0,0.1836,1.0
0,0.1887,1.0
0,0.1938,1.0
0,0.1989,1.0
0,0.2040,1.0
0,0.2091,1.0
0,0.2142,1.0
0,0.2193,1.0
0,0.2244,1.0
0,0.2295,1.0
0,0.2346,1.0
0,0.2397,1.0
0,0.2448,1.0
0,0.2499,1.0
0,0.2550,1.0
0,0.2601,1.0
0,0.2652,1.0
0,0.2703,1.0
0,0.2754,1.0
0,0.2805,1.0
0,0.2856,1.0
0,0.2907,1.0
0,0.2958,1.0
0,0.3009,1.0
0,0.3060,1.0
0,0.3111,1.0
0,0.3162,1.0
0,0.3213,1.0
0,0.3264,1.0
0,0.3315,1.0
0,0.3366,1.0
0,0.3417,1.0
0,0.3468,1.0
0,0.3519,1.0
0,0.3570,1.0
0,0.3621,1.0
0,0.3672,1.0
0,0.3723,1.0
0,0.3774,1.0
0,0.3825,1.0
0,0.3876,1.0
0,0.3927,1.0
0,0.3978,1.0
0,0.4029,1.0
0,0.4080,1.0
0,0.4131,1.0
0,0.4182,1.0
0,0.4233,1.0
0,0.4284,0.760106
0,0.4335,1.0
0,0.4386,1.0
0,0.4437,1.0
0,0.4488,1.0
0,0.4539,1.0
0,0.4590,0.0
0,0.4641,1.0
0,0.4692,1.0
0,0.4743,1.0
0,0.4794,1.0
0,0.4845,1.0
0,0.4896,0.610974
0,0.4947,0.774846
0,0.4998,1.0
